name;snippet;url
THE 10 BEST Restaurants in Coventry - Updated October 2019 ...;"Best Dining in Coventry, South County: See 1414 TripAdvisor traveler reviews of 
73 Coventry restaurants and search by cuisine, price, location, and more.";https://www.tripadvisor.com/Restaurants-g54069-Coventry_South_County_Rhode_Island.html
Tommy's Restaurant – Coventry Village - Cleveland;"No matter what your diet, Tommy's Restaurant has something that will satisfy you 
– vegetarians, vegans, meat-eaters, gluten free, health-conscious and the just ...";https://tommyscoventry.com/
THE 10 BEST Restaurants in Coventry - Updated October 2019 ...;"Best Dining in Coventry, West Midlands: See 64698 TripAdvisor traveler reviews 
of 728 Coventry restaurants and search by cuisine, price, location, and more.";https://www.tripadvisor.com/Restaurants-g186403-Coventry_West_Midlands_England.html
Morse Tavern Restaurant | Coventry RI | Local Pub;"Morse Tavern in Coventry RI is a new local restaurant spot for lunch, dinner, 
drinks or to listen to some live music. Although new to RI, the owners have two ...";https://www.morsetavernri.com/
THE 10 BEST Restaurants in Coventry - Updated October 2019 ...;"Best Dining in Coventry, Mystic Country: See 796 TripAdvisor traveler reviews of 
20 Coventry restaurants and search by cuisine, price, location, and more.";https://www.tripadvisor.com/Restaurants-g33751-Coventry_Mystic_Country_Connecticut.html
THE BEST 10 Restaurants in Coventry, CT - Last Updated July 2019 ...;"Best Restaurants in Coventry, CT - Bidwell Tavern, Lake View Restaurant and 
Bar, Dimitri's Pizza Restaurant, Camille's Wood Fired Pizza, Willimantic Brewing
 ...";https://m.yelp.com/search?cflt=restaurants&find_loc=Coventry%2C+CT
THE 10 BEST Restaurants & Places to Eat in Coventry 2019 ...;"Best Dining in Coventry, West Midlands: See 64766 TripAdvisor traveller reviews 
of 728 Coventry restaurants and search by cuisine, price, location, and more.";https://www.tripadvisor.co.uk/Restaurants-g186403-Coventry_West_Midlands_England.html
Black Oak Kitchen & Drinks | Coventry RI;"... but not former Miss Universe and current model Olivia Culpo — have opened a 
restaurant in Coventry. Named after the town's signature oak trees, Black Oak ...";https://www.blackoakcoventry.com/
Coventry Lakeview Restaurant & Bar;"Contact Us. Email. coventrylakeview@gmail.com. Phone. 8604980500. Address. 
50 Lake Street Coventry CT 06238. Hours: Open Everyday 11:30AM - 11PM ...";https://coventrylakeview.com/
Applebee's Grill + Bar in Coventry (Centre Of New England Blvd);"Located at 830 Centre of New England Blvd, this Applebee's Coventry restaurant 
offers online orders for pickup or delivery. View Current specials and hours ...";https://www.applebees.com/en/restaurants-coventry-ri/830-centre-of-new-england-blvd-81065
